Headline,URL
Stranded surfer rescued after spelling out 'HELP'A private helicopter pilot spotted the word spelled out with rocks and alerted the authorities.12 hrs agoUS & Canada,/news/videos/cw00n8ljq97o
Stranded surfer rescued after spelling out 'HELP',
Most read,
1Four US college instructors stabbed in public park in China,/news/articles/c844q27v732o
Four US college instructors stabbed in public park in China,
2Warning shots from South as NK soldiers cross border,/news/articles/c511ve3051po
Warning shots from South as NK soldiers cross border,
3UN Security Council backs US Israel-Gaza ceasefire plan,/news/articles/cw448x7lxggo
UN Security Council backs US Israel-Gaza ceasefire plan,
4Apple brings ChatGPT to iPhones in AI overhaul,/news/articles/c4nn5mejl89o
Apple brings ChatGPT to iPhones in AI overhaul,
5Five ways Michael Mosley made us healthier,/news/articles/c1wwv0405wyo
Five ways Michael Mosley made us healthier,
6Singapore Airlines turbulence victims offered payouts,/news/articles/cpwwy3wq5p6o
Singapore Airlines turbulence victims offered payouts,
"7Fire at famous Bangkok market kills 1,000 animals",/news/articles/cw44gm303wro
"Fire at famous Bangkok market kills 1,000 animals",
8Baltimore shipping channel reopens after bridge collapse,/news/articles/cnkk2d1ezzyo
Baltimore shipping channel reopens after bridge collapse,
9Aircraft carrying Malawi vice-president goes missing,/news/articles/c4nn0zkq79ko
Aircraft carrying Malawi vice-president goes missing,
10Netanyahu walks tightrope as US urges Gaza ceasefire deal,/news/articles/c511vl9yjwwo
Netanyahu walks tightrope as US urges Gaza ceasefire deal,
Sport,
"LIVEEuro 2024 build-up: England arrive and Scotland prepare for Friday's openerBuild-up to Euro 2024 as England arrive in Germany while Scotland train again before their opener with Germany on Friday, plus the latest football and transfer news.",https://www.bbc.com/sport/football/live/cjrrlyp4wj9t
Euro 2024 build-up: England arrive and Scotland prepare for Friday's opener,
From water carrier to serial winner - Deschamps seeks more historyFrance boss Didier Deschamps won the World Cup as a player and manager and now he is aiming to achieve the same feat in the European Championship.21 mins agoFrance,/sport/football/articles/cedd2k0pl20o
From water carrier to serial winner - Deschamps seeks more history,
F1 Q&A after Canada: Ricciardo and Sainz future plus Perez at Red BullBBC F1 correspondent Andrew Benson answers your questions following the Canadian Grand Prix.1 hr agoFormula 1,/sport/formula1/articles/cz99q58lmvro
F1 Q&A after Canada: Ricciardo and Sainz future plus Perez at Red Bull,
Brazil Paralympian selected for Paris OlympicsTable tennis player Bruna Alexandre is set to become the first Brazilian to play at both the Olympics and Paralympics.2 hrs agoSport,/sport/articles/cd11e3dnjqxo
Brazil Paralympian selected for Paris Olympics,
SA on brink of Super 8s with tense win over BangladeshSouth Africa claim a nervy four-run win over Bangladesh that puts them on brink of reaching the T20 World Cup Super 8s.14 hrs agoCricket,/sport/cricket/articles/c2ll9ne7e9zo
SA on brink of Super 8s with tense win over Bangladesh,
From water carrier to serial winner - Deschamps seeks more historyFrance boss Didier Deschamps won the World Cup as a player and manager and now he is aiming to achieve the same feat in the European Championship.21 mins agoFrance,/sport/football/articles/cedd2k0pl20o
From water carrier to serial winner - Deschamps seeks more history,
"Burrow gave MND community a voice - ex-rugby pro SlaterFormer Gloucester and Leicester lock Ed Slater says ""thank you"" to Rob Burrow for giving a voice to him and others with motor neurone disease.3 hrs agoRugby Union",/sport/articles/c4nnlppej1eo
Burrow gave MND community a voice - ex-rugby pro Slater,
"'Winning these Euros not just down to having the best players'Former England goalkeeper Joe Hart, who will be a BBC pundit at Euro 2024, on his new role and why England can go all the way.4 hrs agoEuropean Championship",/sport/football/articles/ce99xp9qyw0o
'Winning these Euros not just down to having the best players',
F1 Q&A after Canada: Ricciardo and Sainz future plus Perez at Red BullBBC F1 correspondent Andrew Benson answers your questions following the Canadian Grand Prix.1 hr agoFormula 1,/sport/formula1/articles/cz99q58lmvro
F1 Q&A after Canada: Ricciardo and Sainz future plus Perez at Red Bull,
British Broadcasting Corporation,/
Home,https://www.bbc.com/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
BBC Shop,https://shop.bbc.com/
Terms of Use,https://www.bbc.co.uk/usingthebbc/terms
About the BBC,https://www.bbc.co.uk/aboutthebbc
Privacy Policy,https://www.bbc.com/usingthebbc/privacy/
Cookies,https://www.bbc.com/usingthebbc/cookies/
Accessibility Help,https://www.bbc.co.uk/accessibility/
Contact the BBC,https://www.bbc.co.uk/contact
Advertise with us,https://www.bbc.com/advertisingcontact
Do not share or sell my info,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/
Contact technical support,https://www.bbc.com/contact-bbc-com-help
Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links
